Event ID,User ID,Type,Timestamp
EV00003,VL00003,view,2024-12-18T04:34:48
EV00013,VL00060,view,2024-12-17T15:35:02
EV00003,VL00061,enquiry,2024-12-17T19:52:23
EV00009,VL00041,view,2024-12-20T03:51:01
EV00008,VL00042,view,2024-12-19T13:15:02
EV00012,VL00003,watchlisted,2024-12-22T00:31:47
EV00011,VL00032,view,2024-12-17T13:54:22
EV00001,VL00040,view,2024-12-20T02:02:29
EV00006,VL00002,enquiry,2024-12-19T19:23:02
EV00010,VL00022,enquiry,2024-12-21T01:58:01
EV00007,VL00006,watchlisted,2024-12-17T23:02:13
EV00007,VL00011,view,2024-12-18T07:55:37
EV00010,VL00025,view,2024-12-22T02:25:46
EV00002,VL00036,view,2024-12-17T18:09:23
EV00005,VL00076,view,2024-12-19T17:33:06
EV00009,VL00020,review,2024-12-21T20:24:24
EV00009,VL00077,view,2024-12-22T09:39:44
EV00006,VL00038,view,2024-12-18T09:57:15
EV00004,VL00008,view,2024-12-23T05:51:12
EV00010,VL00050,watchlisted,2024-12-16T12:47:57
EV00007,VL00019,view,2024-12-17T15:40:01
EV00011,VL00015,view,2024-12-23T04:41:05
EV00004,VL00008,view,2024-12-21T22:26:52
EV00012,VL00037,view,2024-12-18T07:16:00
EV00005,VL00078,view,2024-12-16T23:33:56
EV00010,VL00076,view,2024-12-22T15:08:39
EV00011,VL00051,view,2024-12-22T19:29:37
EV00002,VL00049,view,2024-12-19T21:43:47
EV00011,VL00047,view,2024-12-20T06:37:18
EV00011,VL00060,watchlisted,2024-12-17T03:35:27
EV00003,VL00045,watchlisted,2024-12-22T09:25:49
EV00003,VL00020,view,2024-12-21T21:56:30
EV00006,VL00062,view,2024-12-16T17:27:21
EV00008,VL00003,enquiry,2024-12-18T16:49:24
EV00011,VL00015,apply,2024-12-20T17:37:47
EV00011,VL00057,review,2024-12-20T12:41:00
EV00003,VL00006,view,2024-12-22T09:36:15
EV00007,VL00001,view,2024-12-20T14:28:10
EV00007,VL00056,enquiry,2024-12-21T10:17:54
